"filename", "language", "YAML", "Docker", "Markdown", "PowerShell", "JSON with Comments", "JSON", "TypeScript", "Ignore", "JavaScript", "TypeScript JSX", "PostCSS", "Makefile", "comment", "blank", "total"
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\audit.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\audit.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\audit.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 8, 64
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\entity\audit-log.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 11, 47
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 9, 27, 239
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.integration.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 19, 38, 243
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 2, 38
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 309, 0, 0, 0, 0, 0, 13, 64, 386
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 504, 0, 0, 0, 0, 0, 49, 109, 662
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\decorators\roles.decorator.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\decorators\user.decorator.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\dto\check-email.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 2, 11
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\dto\check-nickname.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 2, 13
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\dto\login.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 5, 4, 22
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\dto\register.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 5, 36
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\entity\refresh-token.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 10, 13, 54
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\guards\jwt-auth.guard.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 11, 53
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\guards\jwt-auth.guard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\guards\roles.guard.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 20, 75
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\guards\roles.guard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 9, 40
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\cart\cart.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 7, 64
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\cart\cart.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
