"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\app\app.module.ts", "TypeScript", 2, 0, 0, 2
"c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\index.ts", "TypeScript", 1, 0, 0, 1
"c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\inquiry\index.ts", "TypeScript", 1, 0, 1, 2
"c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\inquiry\inquiry.ts", "TypeScript", 31, 0, 6, 37
"Total", "-", 35, 0, 7, 42
