"filename", "language", "YAML", "JSON with Comments", "JavaScript", "TypeScript", "TypeScript JSX", "Markdown", "JSON", "PostCSS", "comment", "blank", "total"
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\inquiry\inquiry.service.ts", "TypeScript", 0, 0, 0, -24, 0, 0, 0, 0, 1, -5, -28
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\entity\order.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\entity\shipment.entity.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\listeners\order-event.listener.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 4, 3, 14
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\order.controller.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\order.module.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\order.service.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 5, 9, 51
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\dto\verify-payment.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\dto\webhook-payment.dto.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 10, 5, 34
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\entity\payment.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\payment.controller.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 1, 2, 18
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\payment.service.ts", "TypeScript", 0, 0, 0, 68, 0, 0, 0, 0, 12, 12, 92
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\dto\product-query.dto.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 5, 0, 10
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\dto\product-response.dto.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\interfaces\product-search.interface.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 2, 7, 47
