"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\dto\order-response.dto.ts", "TypeScript", 18, 0, 2, 20
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\dto\ship-order.dto.ts", "TypeScript", 9, 0, 3, 12
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\entity\order.entity.ts", "TypeScript", 9, 0, 4, 13
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\entity\shipment.entity.ts", "TypeScript", 33, 0, 11, 44
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\events\shipment.events.ts", "TypeScript", 28, 0, 4, 32
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\listeners\order-event.listener.ts", "TypeScript", 35, 1, 4, 40
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\order.controller.ts", "TypeScript", 18, 0, 2, 20
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\order.module.ts", "TypeScript", 2, 0, 0, 2
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\order\order.service.ts", "TypeScript", 183, 13, 38, 234
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\payment.controller.ts", "TypeScript", 14, 1, 2, 17
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\payment.module.ts", "TypeScript", 2, 0, 0, 2
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\payment\payment.service.ts", "TypeScript", 57, 4, 11, 72
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\product.entity.ts", "TypeScript", 2, 0, 2, 4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\dto\create-review.dto.ts", "TypeScript", 18, 0, 6, 24
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\dto\review-response.dto.ts", "TypeScript", 25, 0, 10, 35
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\dto\update-review.dto.ts", "TypeScript", 16, 0, 4, 20
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\entity\review.entity.ts", "TypeScript", 11, 0, 5, 16
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\events\review.events.ts", "TypeScript", 13, 0, 2, 15
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\review\listeners\review-event.listener.ts", "TypeScript", 45, 0, 10, 55
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\dto\change-password.dto.ts", "TypeScript", 8, 0, 3, 11
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\dto\update-profile.dto.ts", "TypeScript", 15, 0, 4, 19
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\dto\user-profile-response.dto.ts", "TypeScript", 23, 0, 9, 32
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\entity\user.entity.ts", "TypeScript", -3, 0, -1, -4
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\user.controller.ts", "TypeScript", 27, 0, 3, 30
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\user.module.ts", "TypeScript", 1, 0, 0, 1
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\user\user.service.ts", "TypeScript", 53, 0, 13, 66
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\wish-list\dto\toggle-wishlist.dto.ts", "TypeScript", 5, 0, 2, 7
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\wish-list\dto\wishlist-response.dto.ts", "TypeScript", 23, 0, 9, 32
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\wish-list\entity\wishList.entity.ts", "TypeScript", 7, 0, 3, 10
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\wish-list\wish-list.controller.ts", "TypeScript", 38, 0, 3, 41
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\wish-list\wish-list.module.ts", "TypeScript", 5, 0, 0, 5
"c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\wish-list\wish-list.service.ts", "TypeScript", 75, 0, 13, 88
"c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\order\index.ts", "TypeScript", 1, 0, 0, 1
"c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\order\order.ts", "TypeScript", 5, 0, 0, 5
"c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\order\shipment.ts", "TypeScript", 16, 0, 4, 20
"c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\user\user.ts", "TypeScript", 13, 0, 4, 17
"c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\wishList\wishList.ts", "TypeScript", 9, 1, 4, 14
"Total", "-", 859, 20, 193, 1072
